batsman,season,strikerate
"A Ashish Reddy",2012,16.666666666666668
"A Ashish Reddy",2013,1.1111111111111112
"A Ashish Reddy",2015,2.1739130434782608
"A Ashish Reddy",2016,3.3333333333333335
"A Chandila",2012,0
"A Chandila",2013,0
"A Chopra",2008,5.454545454545454
"A Chopra",2009,10
"A Choudhary",2017,0
"A Flintoff",2009,17.54385964912281
"A Kumble",2008,23.529411764705884
"A Kumble",2009,5
"A Kumble",2010,16.666666666666668
"A Mishra",2008,0
"A Mishra",2009,5
"A Mishra",2010,11.11111111111111
"A Mishra",2011,13.461538461538462
"A Mishra",2012,4.761904761904762
"A Mishra",2013,7.766990291262136
"A Mishra",2014,57.142857142857146
"A Mishra",2015,7.6923076923076925
"A Mishra",2016,0
"A Mishra",2017,10.714285714285714
"A Mithun",2010,0
"A Mithun",2011,15
"A Mithun",2013,0
"A Mukund",2008,0
"A Mukund",2013,4.545454545454546
"A Nehra",2008,15.384615384615385
"A Nehra",2009,0
"A Nehra",2010,5
"A Nehra",2012,15.384615384615385
"A Nehra",2013,0
"A Nehra",2015,42.857142857142854
"A Nehra",2016,0
"A Singh",2009,0
"A Singh",2011,0
"A Singh",2012,33.333333333333336
"A Symonds",2008,7.207207207207207
"A Symonds",2009,5.847953216374269
"A Symonds",2010,7.584269662921348
"A Symonds",2011,6.293706293706293
"A Uniyal",2010,0
"A Zampa",2016,0
"A Zampa",2017,0
"AA Bilakhia",2009,10.714285714285714
"AA Bilakhia",2010,0
"AA Chavan",2011,0
"AA Chavan",2012,0
"AA Jhunjhunwala",2010,5.813953488372093
"AA Jhunjhunwala",2011,36.8421052631579
"AA Jhunjhunwala",2012,3.7037037037037037
"AA Noffke",2008,16.666666666666668
"AB Agarkar",2008,10.204081632653061
"AB Agarkar",2009,6.896551724137931
"AB Agarkar",2010,6.666666666666667
"AB Agarkar",2011,42.857142857142854
"AB Agarkar",2013,0
"AB Barath",2010,4.651162790697675
"AB de Villiers",2008,4
"AB de Villiers",2009,1.9498607242339834
"AB de Villiers",2010,4.878048780487805
"AB de Villiers",2011,6.451612903225806
"AB de Villiers",2012,5.911330049261084
"AB de Villiers",2013,2.6548672566371683
"AB de Villiers",2014,5.490196078431373
"AB de Villiers",2015,8.609271523178808
"AB de Villiers",2016,6.506024096385542
"AB de Villiers",2017,9.941520467836257
"AB Dinda",2008,25
"AB Dinda",2009,0
"AB Dinda",2010,0
"AB Dinda",2011,0
"AB Dinda",2012,20
"AB Dinda",2013,0
"AB Dinda",2014,7.6923076923076925
"AB Dinda",2017,12.5
"AB McDonald",2009,0
"AB McDonald",2010,7.407407407407407
"AB McDonald",2011,0
"AB McDonald",2012,8.333333333333334
"AB McDonald",2013,0
"Abdur Razzak",2008,0
"AC Blizzard",2011,6.818181818181818
"AC Blizzard",2012,0
"AC Gilchrist",2008,7.317073170731708
"AC Gilchrist",2009,7.4183976261127595
"AC Gilchrist",2010,10.5
"AC Gilchrist",2011,17.15210355987055
"AC Gilchrist",2012,8.16326530612245
"AC Gilchrist",2013,4.700854700854701
"AC Thomas",2011,0
"AC Thomas",2012,0
"AC Voges",2010,6.293706293706293
"AD Mascarenhas",2008,0
"AD Mascarenhas",2009,2.5641025641025643
"AD Mascarenhas",2010,9.090909090909092
"AD Mascarenhas",2012,0
"AD Mascarenhas",2013,0
"AD Mathews",2009,7.142857142857143
"AD Mathews",2010,11.16751269035533
"AD Mathews",2012,6.363636363636363
"AD Mathews",2013,1.4184397163120568
"AD Mathews",2015,7.339449541284404
"AD Mathews",2017,3.5714285714285716
"AD Nath",2016,0
"AD Nath",2017,0
"AD Russell",2012,7.407407407407407
"AD Russell",2013,6.666666666666667
"AD Russell",2014,0
"AD Russell",2015,9.142857142857142
"AD Russell",2016,17.6
"AF Milne",2017,0
"AG Murtaza",2011,0
"AG Murtaza",2012,0
"AG Murtaza",2013,0
"AG Paunikar",2010,0
"AG Paunikar",2011,11.666666666666666
"AJ Finch",2010,0
"AJ Finch",2011,11.764705882352942
"AJ Finch",2012,5.769230769230769
"AJ Finch",2013,6.686046511627907
"AJ Finch",2014,8.208955223880597
"AJ Finch",2015,6.0606060606060606
"AJ Finch",2016,8.360128617363344
"AJ Finch",2017,10
"AJ Tye",2017,10
"AL Menaria",2011,4.430379746835443
"AL Menaria",2012,3.864734299516908
"AL Menaria",2013,0
"AM Nayar",2008,7.746478873239437
"AM Nayar",2009,7.741935483870968
"AM Nayar",2010,9.803921568627452
"AM Nayar",2011,11.940298507462687
"AM Nayar",2012,12.244897959183673
"AM Nayar",2013,5.405405405405405
"AM Nayar",2014,8
"AM Rahane",2008,10.526315789473685
"AM Rahane",2009,12.5
"AM Rahane",2011,1.0101010101010102
"AM Rahane",2012,6.026785714285714
"AM Rahane",2013,4.872881355932203
"AM Rahane",2014,5.704697986577181
"AM Rahane",2015,5.91016548463357
"AM Rahane",2016,4.392764857881137
"AM Rahane",2017,1.829268292682927
"AN Ahmed",2010,25
"AN Ahmed",2011,0
"AN Ahmed",2014,0
"AN Ahmed",2015,0
"AN Ghosh",2009,0
